x,y,nettoyage
49,23,paul
18,17,jules
18,26,paul
94,12,paul
28,76,paul
9,72,paul
40,50,jules
9,81,paul
60,28,jules
95,4,paul
87,0,paul
81,78,paul
62,74,paul
72,20,paul
10,45,jules
56,12,paul
22,19,paul
34,21,paul
93,70,paul
54,88,paul
74,57,paul
3,24,jules
22,46,jules
51,82,paul
3,42,paul
86,58,paul
67,54,paul
90,19,paul
79,19,paul
59,50,jules
36,48,jules
71,15,jules
88,86,paul
35,83,paul
59,59,jules
78,72,paul
79,46,paul
29,27,jules
28,62,jules
30,4,jules
60,5,jules
17,71,paul
11,0,jules
30,13,jules
94,16,paul
52,19,jules
5,96,paul
40,63,jules
61,95,paul
21,68,paul
44,33,jules
33,33,jules
81,82,paul
53,11,jules
31,72,jules
62,87,paul
85,52,paul
73,96,paul
62,96,paul
2,54,jules
93,74,paul
89,22,paul
12,86,paul
22,32,jules
13,51,paul
23,86,paul
78,22,jules
23,95,paul
20,99,paul
1,67,paul
36,43,jules
79,23,paul
59,54,jules
48,17,jules
76,88,paul
70,63,paul
69,67,paul
48,44,jules
21,27,paul
28,75,jules
40,40,jules
83,20,paul
21,36,jules
80,85,paul
58,85,paul
61,90,paul
27,88,paul
93,33,paul
50,99,paul
39,62,jules
22,0,jules
73,82,paul
56,11,jules
14,5,jules
14,14,jules
23,81,paul
3,23,jules
23,99,paul
97,48,paul
88,67,paul
15,6,jules
89,44,paul
13,73,paul
36,38,jules
28,34,jules
79,18,paul
1,89,paul
82,23,paul
16,87,paul
48,21,jules
21,13,jules
5,59,jules
94,6,paul
100,86,paul
75,11,jules
73,41,jules
44,5,paul
52,18,paul
25,1,paul
8,70,paul
33,14,jules
81,63,paul
2,8,jules
91,95,paul
10,21,paul
62,59,paul
31,53,jules
73,68,paul
20,62,jules
97,7,paul
31,71,paul
84,74,paul
93,55,paul
51,49,jules
89,3,paul
12,85,paul
13,50,jules
47,15,jules
96,66,paul
98,8,paul
88,71,paul
16,64,paul
96,84,paul
96,93,paul
90,22,paul
16,73,jules
99,89,paul
88,89,paul
58,48,jules
77,70,paul
38,88,paul
40,30,jules
92,68,paul
9,61,jules
93,5,paul
8,74,paul
20,39,jules
50,89,paul
19,83,paul
11,79,paul
93,41,paul
52,98,paul
12,62,jules
4,58,jules
95,78,paul
87,74,paul
13,36,jules
1,43,jules
87,83,paul
96,61,paul
1,52,paul
9,11,paul
47,37,jules
82,4,paul
57,69,paul
14,98,paul
49,65,paul
57,78,paul
76,91,paul
48,20,jules
38,74,jules
92,63,paul
80,70,paul
69,70,paul
93,0,paul
61,66,paul
39,29,jules
26,99,paul
61,75,paul
33,4,jules
42,71,jules
19,69,paul
31,34,paul
20,34,jules
93,18,paul
8,78,paul
19,78,paul
51,21,jules
8,87,paul
43,17,jules
85,32,paul
60,97,paul
83,99,paul
31,70,jules
96,38,paul
35,31,jules
88,34,paul
36,23,paul
22,88,paul
68,55,paul
100,35,paul
45,99,paul
17,37,jules
26,67,paul
15,67,paul
9,33,paul
98,83,paul
6,18,paul
26,85,paul
80,65,paul
54,13,jules
90,97,paul
39,24,jules
85,0,paul
20,29,jules
11,60,jules
31,38,jules
12,34,jules
83,85,paul
32,12,jules
0,78,paul
85,27,paul
35,8,jules
20,56,jules
66,23,jules
43,21,jules
41,88,paul
86,1,paul
84,68,paul
95,68,paul
64,62,paul
72,75,paul
16,22,paul
53,71,paul
36,0,jules
76,36,paul
53,80,paul
76,45,paul
36,9,jules
55,22,paul
99,56,paul
9,1,paul
92,17,paul
65,63,paul
77,28,jules
17,23,jules
69,24,paul
65,72,paul
3,88,paul
77,46,paul
5,39,paul
98,78,paul
46,77,paul
49,73,paul
50,38,jules
62,3,jules
7,58,jules
81,16,paul
38,82,paul
81,7,paul
81,34,paul
82,88,paul
11,46,jules
74,4,jules
30,68,jules
29,100,paul
75,67,paul
43,7,jules
32,7,paul
96,28,paul
23,56,jules
99,24,paul
88,24,paul
13,30,jules
65,31,jules
24,30,jules
16,26,jules
4,61,jules
96,46,paul
70,6,jules
77,5,paul
57,36,jules
92,3,paul
92,12,paul
58,10,jules
100,25,paul
37,85,paul
9,14,paul
86,99,paul
7,44,paul
69,28,jules
77,41,jules
90,69,paul
79,69,paul
30,27,jules
73,7,jules
30,45,jules
62,25,paul
18,89,paul
82,92,paul
60,64,paul
91,79,paul
52,60,jules
6,93,paul
94,75,paul
43,2,jules
44,65,paul
84,49,paul
33,74,jules
45,39,jules
99,19,paul
33,83,paul
96,32,paul
72,65,paul
52,96,paul
95,67,paul
74,93,paul
3,51,jules
77,9,paul
38,27,jules
86,76,paul
58,5,jules
76,53,paul
38,45,paul
46,58,jules
97,94,paul
18,39,paul
79,55,paul
18,48,jules
8,13,jules
58,32,paul
27,26,jules
79,64,paul
30,22,jules
0,18,jules
42,33,jules
30,40,jules
20,5,jules
27,53,jules
63,74,paul
83,61,paul
72,24,paul
91,74,paul
63,92,paul
29,99,paul
41,64,jules
43,6,jules
52,73,paul
13,2,jules
4,33,jules
56,34,jules
64,47,jules
33,87,paul
45,52,jules
14,46,jules
22,59,jules
2,90,paul
25,92,paul
38,22,jules
65,48,paul
32,100,paul
37,75,paul
68,53,paul
98,54,paul
49,49,jules
79,50,paul
0,4,jules
70,90,paul
90,68,paul
91,33,paul
19,26,paul
83,29,paul
39,4,jules
19,35,jules
31,0,jules
94,47,paul
63,78,paul
29,76,paul
82,91,paul
83,56,paul
72,19,paul
83,65,paul
95,39,paul
72,37,jules
43,1,jules
32,1,paul
21,99,paul
4,28,jules
52,77,paul
1,13,jules
45,47,jules
88,27,paul
10,89,paul
22,54,jules
46,21,jules
66,79,paul
66,88,paul
46,30,jules
68,30,jules
32,95,paul
38,26,jules
3,59,jules
46,39,jules
69,4,paul
67,62,paul
79,36,jules
90,36,paul
1,98,paul
26,42,jules
50,9,jules
42,5,jules
67,89,paul
91,19,paul
59,85,paul
19,12,jules
48,48,jules
55,96,paul
18,56,jules
36,92,paul
83,24,paul
62,1,jules
9,84,paul
5,95,paul
39,8,paul
94,42,paul
12,0,paul
4,5,paul
84,25,paul
64,28,jules
2,44,jules
62,95,paul
34,24,jules
10,57,jules
22,31,jules
53,46,jules
14,27,jules
65,11,paul
25,64,paul
25,73,paul
76,20,jules
65,20,paul
74,87,paul
68,16,paul
78,48,paul
74,96,paul
24,77,paul
13,77,paul
66,92,paul
97,61,paul
37,56,jules
98,44,paul
78,75,paul
5,72,paul
70,89,paul
0,12,jules
91,32,paul
11,21,paul
5,99,paul
21,62,paul
87,7,paul
64,5,jules
44,36,jules
72,27,jules
64,23,paul
73,90,paul
44,63,jules
68,2,jules
3,31,jules
37,33,jules
23,98,paul
97,47,paul
78,34,jules
57,11,jules
32,67,paul
24,72,jules
18,1,jules
59,39,jules
38,16,jules
49,16,jules
98,30,paul
66,96,paul
79,26,paul
24,90,paul
36,55,jules
71,22,jules
15,32,jules
7,19,jules
1,88,paul
18,19,paul
100,85,paul
83,14,paul
60,12,jules
92,81,paul
6,50,jules
33,13,jules
95,6,paul
41,44,jules
8,96,paul
44,40,jules
74,41,jules
33,49,paul
14,8,jules
85,59,paul
20,88,paul
97,33,paul
23,93,paul
13,58,paul
74,77,paul
32,71,jules
12,93,paul
43,71,jules
3,44,jules
43,89,paul
82,8,paul
78,56,paul
36,50,jules
98,34,paul
59,52,jules
79,30,jules
100,62,paul
48,24,jules
79,39,jules
90,39,paul
59,70,paul
55,72,paul
17,73,jules
40,38,jules
91,22,paul
100,98,paul
