x,y,nettoyage
98538,7330,paul
37739,64010,paul
7153,7010,paul
32136,76389,jules
59473,18625,paul
26704,56378,paul
2682,72613,paul
25907,91497,paul
64940,9768,paul
58789,37591,paul
83461,45035,paul
99596,52876,paul
37993,44305,paul
84721,62042,paul
28288,16327,paul
18767,39205,paul
97467,49420,paul
85357,19623,paul
59733,2118,paul
29901,55137,paul
85331,47449,paul
77628,6186,paul
45466,60381,jules
22616,37210,paul
11490,20415,paul
6051,17707,paul
41333,95801,jules
85777,21148,paul
6907,65398,paul
79039,16946,paul
94784,54423,paul
42550,703,paul
37100,85728,paul
12795,13029,paul
92913,49505,paul
23069,17715,paul
95581,17025,paul
51943,20835,paul
94427,27209,paul
69632,85373,paul
3230,1276,paul
808,17947,paul
84460,26588,paul
73392,47870,paul
46701,76735,jules
1804,51685,paul
15216,44778,paul
91632,78014,jules
8632,98383,paul
3742,54792,paul
75042,67314,jules
18721,91238,paul
96042,80028,jules
89423,1424,paul
91210,39825,paul
494,88124,paul
28476,73667,jules
91407,88634,paul
25141,81740,paul
1055,66469,paul
60403,63366,paul
47226,26756,paul
9343,16329,paul
65965,60785,jules
9965,28161,paul
82767,36844,paul
72823,91110,paul
55759,77144,jules
16834,77866,paul
56221,7969,paul
59003,53869,jules
19958,56017,paul
12537,83084,paul
61683,93830,paul
76483,52245,paul
21390,57074,paul
3210,24729,paul
90701,66901,jules
14105,44809,paul
84863,92969,paul
56467,37422,paul
44230,82940,jules
29206,70106,jules
30501,3938,paul
65984,87980,paul
17181,59106,paul
44268,95475,paul
40925,11601,paul
35045,27644,paul
53640,3076,paul
97691,14334,paul
6728,87639,paul
45119,47760,paul
37008,38917,paul
43107,50531,paul
85246,78370,paul
53644,3949,paul
29099,62288,paul
65810,844,paul
50514,73524,jules
50840,59953,paul
9895,53005,paul
91424,21044,paul
82399,34704,paul
28169,88395,paul
64914,81246,jules
83456,52880,paul
72098,60625,paul
11047,90666,paul
67124,82597,jules
30167,22909,paul
50752,50657,jules
99539,49227,paul
76729,45080,paul
14889,57699,paul
31516,61084,paul
19248,72580,paul
18454,5765,paul
9319,97353,paul
64054,13784,paul
12298,20412,paul
36818,6339,paul
69570,58002,paul
81433,57340,paul
75474,35183,paul
10578,22079,paul
13353,71726,paul
85334,51398,paul
71168,7104,paul
5419,61267,paul
49516,41941,jules
73034,15061,paul
15477,54055,paul
40187,81985,jules
57310,82568,jules
50107,52208,jules
52589,29172,paul
47552,53828,paul
69988,16821,paul
46632,99871,jules
60094,93081,jules
66721,54607,jules
28847,63891,paul
77988,70129,jules
7559,34680,paul
96129,35003,paul
15677,70331,paul
54570,51604,jules
56532,30222,paul
3106,74848,paul
60651,68274,jules
96854,90347,jules
87370,30877,paul
80246,32301,paul
48715,27518,paul
29185,92933,paul
61077,22073,paul
5919,19337,paul
26908,58280,paul
64618,53503,paul
29015,22535,paul
31415,24010,paul
7772,74573,paul
6901,88832,paul
55189,43890,paul
73742,49648,paul
79910,88194,jules
91485,61990,paul
1122,820,paul
39673,66057,jules
63441,69153,jules
61157,26913,paul
70441,62186,jules
47428,28663,paul
81946,9579,paul
42048,68414,jules
28005,16606,paul
38257,71518,jules
68908,92726,paul
95080,35912,paul
17365,89104,paul
69575,14157,paul
76731,20535,paul
37936,93010,jules
67304,5333,paul
35026,47110,paul
43127,72204,paul
14400,69511,paul
90547,34622,paul
94899,17033,paul
86688,62697,paul
80635,93307,paul
94379,49986,paul
32202,59802,paul
87306,35914,paul
57707,26122,paul
59488,50745,jules
17521,23198,paul
11716,51658,paul
20439,95754,paul
94615,7825,paul
60143,88354,jules
35500,94857,paul
79647,91890,paul
87210,55050,paul
72978,42970,paul
65598,4804,paul
82656,36291,paul
76821,78872,paul
67754,28550,paul
6005,7322,paul
33492,21933,paul
67630,62257,jules
64332,46046,paul
6616,38243,paul
47580,59928,jules
77394,12719,paul
19761,65489,paul
68004,67571,jules
4223,12275,paul
22962,46304,paul
34422,96930,paul
14013,5837,paul
89082,99389,jules
80529,59676,jules
72284,51799,paul
23366,82759,paul
67082,47526,paul
72513,56732,paul
69148,91758,jules
28870,38321,paul
42510,88958,paul
20276,26126,paul
54258,6308,paul
66129,82132,jules
83427,39147,paul
535,33974,paul
44195,93871,jules
90274,93065,jules
74636,42653,paul
59262,2645,paul
7175,33080,paul
37408,23038,paul
37356,68891,jules
69326,93723,jules
43544,26583,paul
60380,22228,paul
84502,25822,paul
91033,32929,paul
60535,6301,paul
48306,69430,jules
25755,10863,paul
50912,35318,paul
30129,72819,jules
74690,32686,paul
1617,42199,paul
60138,89834,jules
94510,47570,paul
53805,76326,jules
61653,48515,paul
38090,29609,paul
25424,85567,paul
20472,44508,paul
21470,85489,paul
48868,83813,paul
42280,4522,paul
35524,16730,paul
76788,25875,paul
35823,99781,paul
21560,45755,paul
49842,15752,paul
62014,35847,paul
69392,29809,paul
63508,61194,jules
11167,84919,paul
48913,86215,jules
26961,22315,paul
95306,45383,paul
86951,3403,paul
42972,56693,paul
38415,44079,paul
53757,49086,paul
46515,95366,jules
57616,2517,paul
1719,57536,paul
48065,68563,jules
69169,75965,jules
41641,42105,paul
66800,98686,paul
63806,12714,paul
1997,66525,paul
19764,54378,paul
13613,75785,paul
45382,71314,jules
75633,72401,paul
28040,30242,paul
5476,35950,paul
3568,34183,paul
8777,45262,paul
72172,71475,jules
93058,66906,jules
80445,55736,paul
12880,88473,paul
55570,23797,paul
52502,69367,jules
10823,51120,paul
47429,75118,jules
23861,19651,paul
22765,75856,paul
3802,994,paul
66235,31522,paul
86926,848,paul
95469,51924,paul
21423,41454,paul
46260,28778,paul
14794,24390,paul
91914,9484,paul
30287,42398,paul
47830,6414,paul
95455,11867,paul
43805,92106,jules
99726,28813,paul
24036,24728,paul
75322,2121,paul
20602,15826,paul
33388,1849,paul
83292,70331,jules
85295,93835,jules
3546,41348,paul
50292,43449,paul
83788,38455,paul
15254,41529,paul
87518,72036,jules
44507,25020,paul
9642,52664,paul
84831,3742,paul
93344,3705,paul
19091,5185,paul
41126,6303,paul
51362,37327,paul
72231,64834,jules
56625,25257,paul
36464,39127,paul
45443,17952,paul
83861,65132,paul
80866,11769,paul
59070,9509,paul
1384,91692,paul
75147,35085,paul
82166,16871,paul
22729,78777,paul
80526,78840,jules
17866,43425,paul
66369,72007,jules
95026,50549,paul
82763,66553,jules
10267,19481,paul
73895,61703,jules
61734,93445,paul
10275,58969,paul
27742,53700,paul
67603,34610,paul
98586,25066,paul
23812,40430,paul
24147,11861,paul
32484,35542,paul
61127,98136,jules
61625,72749,jules
74598,69932,jules
49134,44014,paul
17418,51529,paul
78796,51122,paul
22304,50089,paul
35671,86042,jules
8296,66010,paul
5276,14280,paul
43119,73603,jules
62870,91326,jules
98298,64384,paul
31170,51079,paul
91216,88665,jules
53040,5555,paul
17694,40443,paul
86028,69014,jules
8850,60530,paul
87264,41112,paul
52350,36784,paul
56461,20264,paul
51358,94093,paul
84639,87225,paul
29240,81394,paul
36847,40719,paul
82340,14152,paul
