x,y,nettoyage
1130,2588,jules
4478,1358,paul
9875,2349,paul
8760,6634,paul
477,451,paul
6788,6094,paul
1218,3869,jules
6407,4416,paul
3812,4163,paul
9746,1417,paul
7736,6018,paul
6971,5397,paul
505,4872,paul
1816,2219,paul
5073,871,paul
1276,548,jules
9825,2649,paul
8705,403,paul
8550,3498,paul
8875,7230,paul
7889,4018,paul
7130,2946,paul
2203,5782,paul
7886,2929,paul
380,8489,paul
2987,9799,paul
1425,5222,paul
6916,5848,paul
9595,8724,paul
5982,2560,paul
6958,8962,paul
1142,9714,paul
6567,9077,paul
9439,748,paul
5676,3685,paul
7568,6447,paul
5477,3970,paul
8968,6761,paul
7819,1599,paul
7523,4984,paul
7779,4681,paul
1022,5633,paul
1571,4643,jules
614,4118,paul
8592,8167,paul
3717,2303,paul
2817,2275,paul
8436,2672,paul
2956,5359,paul
1545,4627,paul
2022,85,paul
5779,7691,paul
7837,9991,paul
1001,6449,paul
3141,157,paul
295,1039,paul
2017,5605,paul
6974,1894,paul
3435,109,paul
4861,3630,paul
4396,3759,paul
4168,5329,paul
5457,4149,paul
6551,2959,paul
4061,2722,paul
4007,7855,paul
2837,6017,paul
8403,135,paul
9800,2955,paul
6100,7638,paul
5794,3919,paul
7115,1725,paul
6167,6123,paul
2455,5090,paul
5268,8949,paul
8969,3148,paul
9559,6397,paul
1856,4990,paul
9497,3038,paul
2251,5031,paul
6244,8935,paul
2794,8922,paul
7524,8955,paul
5905,875,paul
8097,2172,paul
4788,6511,paul
5087,3626,paul
2021,7723,paul
2821,4100,paul
5133,7714,paul
1458,5102,paul
2545,4165,paul
7729,4634,paul
9245,4665,paul
4847,2890,paul
7517,8952,paul
592,3675,paul
7301,6816,paul
7378,7036,paul
4252,2451,paul
2555,6546,paul
1954,6851,paul
8002,218,paul
6102,9646,paul
4402,2661,paul
761,5029,paul
5501,9951,paul
4327,1026,paul
36,3578,paul
3506,5492,paul
5118,1784,paul
957,8058,paul
5143,7210,paul
5334,96,paul
3085,251,paul
4136,4841,paul
5137,7661,paul
7436,3900,paul
7281,6995,paul
2169,8617,paul
2707,9424,paul
7714,6059,paul
9954,1691,paul
9468,8362,paul
9633,4494,paul
3000,5741,paul
9985,223,paul
6688,4616,paul
4422,5356,paul
3436,2107,paul
8857,7656,paul
2450,4062,paul
7935,1719,paul
9793,3665,paul
9098,6321,paul
9581,7192,paul
35,7611,paul
5215,6160,paul
2116,3893,jules
1114,8055,paul
5849,4231,paul
8397,8610,paul
3189,1368,paul
3111,1943,paul
759,1182,paul
5210,2783,paul
2947,3003,jules
1591,4947,paul
2353,6465,paul
8552,5451,paul
2983,8029,paul
731,1056,paul
860,5142,paul
6768,6837,paul
8735,7558,paul
8571,2431,paul
6721,9236,paul
5776,8011,paul
8450,8328,paul
315,323,paul
2118,1579,paul
9877,6035,paul
6119,914,paul
3815,8303,paul
8450,9725,paul
6483,2130,paul
9793,6832,paul
5259,5425,paul
7428,8990,paul
1571,9933,paul
6793,2292,paul
6676,3693,paul
8154,9619,paul
5626,1920,paul
1930,2174,paul
2955,7566,paul
7936,9396,paul
9658,5560,paul
2992,5876,paul
9592,9407,paul
368,2707,paul
3059,2439,jules
4306,4497,paul
2248,8347,paul
8791,6914,paul
2874,2622,paul
3319,3009,jules
2923,3009,jules
1792,5071,paul
2084,6411,paul
9424,9715,paul
1370,4853,paul
6970,2985,paul
5328,3552,paul
9695,3533,paul
5001,3157,paul
9822,5560,paul
1742,3678,jules
2155,1861,jules
7697,4253,paul
3340,6451,paul
9026,3374,paul
8451,9330,paul
385,8100,paul
5261,5484,paul
1459,845,jules
4411,2833,paul
6353,7631,paul
6515,2068,paul
3588,9441,paul
3839,4593,paul
2144,6317,paul
6557,2708,paul
8626,4608,paul
4472,1244,paul
9986,9953,paul
4709,7078,paul
5457,7466,paul
4280,6672,paul
6134,9142,paul
1578,8013,paul
6700,9553,paul
1381,4695,jules
4929,3819,paul
2594,9118,paul
6448,1381,paul
7024,7664,paul
6346,3319,paul
150,403,paul
3443,3667,paul
4222,9821,paul
2193,9979,paul
5144,4912,paul
5765,5259,paul
3798,108,paul
124,8981,paul
9344,9560,paul
1407,8252,paul
6840,9425,paul
2559,8235,paul
2791,5094,paul
6154,6882,paul
9953,7803,paul
3721,5230,paul
5142,6384,paul
233,5891,paul
1109,1095,jules
787,3030,jules
8307,7433,paul
4045,9491,paul
6543,9323,paul
6185,5414,paul
7529,4924,paul
1629,2824,jules
2883,9234,paul
5717,1404,paul
8753,5012,paul
1155,918,jules
9181,2978,paul
6165,7421,paul
377,1590,paul
8348,533,paul
2033,5802,paul
5693,1949,paul
7194,8502,paul
3247,7417,paul
6543,9215,paul
220,3040,paul
3425,3259,jules
732,8813,paul
