x,y,nettoyage
51,343,paul
124,602,paul
68,512,paul
772,247,paul
549,80,paul
840,400,jules
625,304,paul
594,487,jules
364,937,paul
148,806,paul
327,143,paul
980,123,paul
161,596,paul
834,87,paul
338,238,paul
230,207,paul
513,755,paul
405,575,paul
920,10,paul
143,956,paul
948,176,paul
520,394,paul
306,434,paul
526,703,paul
922,941,jules
397,589,paul
411,636,paul
756,527,jules
973,394,jules
934,48,paul
90,675,paul
251,629,paul
527,20,paul
742,610,jules
762,439,jules
175,499,paul
821,354,paul
268,34,paul
342,20,paul
584,527,jules
720,51,paul
99,607,paul
717,391,jules
970,244,paul
101,549,paul
741,92,paul
41,266,paul
873,675,jules
580,660,paul
209,506,paul
64,667,paul
859,84,paul
298,178,paul
169,442,paul
673,631,jules
670,306,jules
747,428,jules
956,282,paul
128,688,paul
676,386,jules
506,463,paul
238,560,paul
659,980,jules
839,282,jules
460,124,paul
114,106,paul
812,664,paul
591,189,paul
717,939,jules
84,120,paul
517,258,paul
134,704,paul
426,476,paul
667,273,paul
358,341,paul
956,812,jules
636,605,jules
142,79,paul
952,680,paul
316,115,paul
417,921,paul
423,577,paul
79,953,paul
381,571,paul
612,751,paul
659,207,paul
902,688,paul
375,268,paul
674,177,paul
64,644,paul
522,714,paul
736,408,jules
299,785,paul
678,58,paul
921,63,paul
485,265,paul
480,586,paul
501,291,paul
559,888,paul
605,101,paul
694,667,jules
938,628,jules
518,469,paul
248,846,paul
997,296,jules
651,980,paul
891,287,jules
586,981,paul
279,452,paul
756,764,jules
975,793,jules
678,170,paul
930,233,paul
814,40,paul
3,944,paul
986,808,jules
685,740,jules
924,747,jules
584,270,paul
693,415,jules
37,775,paul
729,746,jules
242,399,paul
571,974,paul
60,898,paul
438,710,paul
466,125,paul
727,184,jules
232,223,paul
833,592,jules
427,53,paul
322,135,paul
91,12,paul
39,66,paul
971,791,paul
518,446,paul
81,984,paul
614,819,paul
264,184,paul
818,716,jules
641,98,paul
497,261,paul
678,147,paul
663,949,paul
457,426,paul
616,361,jules
806,589,jules
952,405,jules
209,370,paul
612,885,paul
604,881,paul
102,396,paul
989,979,jules
984,119,paul
781,950,jules
169,544,paul
306,293,paul
516,350,paul
485,143,paul
299,25,paul
967,542,paul
408,188,paul
262,232,paul
963,261,paul
266,333,paul
422,608,paul
622,642,paul
332,952,paul
694,383,paul
121,369,paul
993,298,jules
216,121,paul
479,989,paul
986,933,jules
748,476,jules
310,146,paul
431,27,paul
728,143,jules
938,627,paul
965,492,jules
282,987,paul
93,544,paul
498,184,paul
481,540,paul
134,451,paul
423,288,paul
73,593,paul
62,166,paul
597,837,paul
931,197,paul
808,773,paul
462,792,paul
175,708,paul
280,672,paul
29,7,paul
169,557,paul
503,811,paul
643,306,paul
372,993,paul
170,611,paul
173,518,paul
477,920,paul
11,227,paul
606,284,paul
124,671,paul
364,67,paul
982,553,jules
498,67,paul
830,397,paul
70,807,paul
504,910,paul
994,536,jules
930,771,jules
999,614,jules
418,727,paul
660,776,jules
424,401,paul
430,570,paul
863,192,paul
566,314,paul
109,255,paul
483,972,paul
30,590,paul
638,101,paul
20,982,paul
100,435,paul
428,609,paul
744,509,jules
837,548,jules
214,838,paul
188,548,paul
968,739,jules
709,399,jules
64,94,paul
217,462,paul
819,796,jules
547,99,paul
921,645,jules
38,725,paul
29,896,paul
173,504,paul
856,445,jules
928,702,paul
383,988,paul
197,205,paul
210,651,paul
361,57,paul
875,934,paul
128,609,paul
975,643,paul
652,148,paul
348,374,paul
509,328,paul
260,14,paul
698,353,paul
181,99,paul
695,756,jules
650,187,paul
134,140,paul
371,214,paul
154,783,paul
393,638,paul
846,89,paul
373,970,paul
590,172,paul
363,139,paul
632,663,paul
103,310,paul
465,168,paul
809,732,jules
593,601,paul
186,982,paul
265,479,paul
141,849,paul
72,740,paul
413,225,paul
530,917,paul
312,438,paul
760,714,jules
134,688,paul
551,958,paul
944,404,jules
558,350,paul
246,93,paul
352,730,paul
547,826,paul
600,990,paul
467,70,paul
982,107,paul
242,217,paul
98,343,paul
215,123,paul
892,460,jules
796,245,paul
800,633,jules
181,615,paul
49,185,paul
261,742,paul
276,889,paul
404,13,paul
648,364,jules
670,123,paul
859,575,jules
456,828,paul
294,528,paul
630,96,paul
446,653,paul
800,736,jules
523,589,paul
202,36,paul
219,772,paul
558,327,paul
790,197,paul
361,865,paul
840,162,paul
977,954,jules
309,922,paul
737,60,paul
98,729,paul
17,930,paul
345,448,paul
602,766,paul
555,834,paul
365,426,paul
202,310,paul
71,730,paul
654,547,jules
61,280,paul
418,209,paul
220,453,paul
646,314,paul
79,352,paul
22,208,paul
151,847,paul
80,140,paul
786,702,jules
969,177,paul
527,609,paul
610,751,jules
683,219,paul
776,536,jules
754,270,paul
561,620,paul
185,589,paul
343,645,paul
19,813,paul
994,215,paul
222,116,paul
557,335,paul
38,54,paul
592,967,paul
187,671,paul
9,921,paul
865,79,paul
987,831,paul
973,933,jules
71,69,paul
646,965,jules
336,641,paul
138,635,paul
867,268,jules
87,849,paul
491,8,paul
561,94,paul
94,470,paul
163,152,paul
985,669,jules
869,485,jules
283,226,paul
500,758,paul
9,121,paul
363,353,paul
30,314,paul
623,819,paul
628,269,paul
956,727,jules
189,725,paul
452,272,paul
151,204,paul
504,319,paul
539,286,paul
989,266,paul
49,669,paul
453,26,paul
870,952,paul
500,852,paul
734,790,jules
264,477,paul
620,530,paul
771,183,jules
640,90,paul
686,722,paul
328,925,paul
986,355,paul
341,715,paul
654,281,paul
80,256,paul
275,123,paul
394,452,paul
829,380,jules
196,980,paul
545,630,paul
254,823,paul
239,29,paul
978,112,paul
105,224,paul
734,902,paul
955,394,paul
165,754,paul
537,644,paul
472,502,paul
950,126,paul
991,981,jules
599,466,jules
600,193,paul
89,215,paul
949,417,jules
179,365,paul
726,674,jules
339,893,paul
701,599,jules
671,82,paul
537,994,paul
368,984,paul
522,386,paul
926,726,paul
469,203,paul
298,977,paul
915,555,jules
6,887,paul
557,999,paul
933,841,jules
73,230,paul
920,642,jules
34,159,paul
439,464,paul
487,373,paul
987,839,paul
739,585,paul
642,405,jules
846,64,paul
197,274,paul
183,803,paul
68,389,paul
952,320,paul
235,575,paul
216,571,paul
356,456,paul
858,712,jules
385,608,paul
618,340,paul
976,286,paul
166,826,paul
742,366,jules
703,774,jules
58,228,paul
175,8,paul
888,191,paul
86,964,paul
246,715,paul
41,166,paul
479,419,paul
708,480,jules
810,775,jules
479,1,paul
436,30,paul
886,904,paul
71,701,paul
206,907,paul
378,196,paul
859,896,jules
272,44,paul
720,710,jules
870,816,paul
880,610,jules
198,494,paul
924,369,jules
714,825,jules
171,397,paul
585,531,jules
103,918,paul
399,422,paul
238,325,paul
715,222,jules
895,845,jules
553,71,paul
198,121,paul
964,307,paul
766,691,jules
937,680,paul
278,617,paul
444,173,paul
822,214,paul
527,189,paul
462,307,paul
200,734,paul
677,241,paul
581,264,paul
181,702,paul
517,508,paul
798,140,paul
55,68,paul
277,935,paul
246,301,paul
151,530,paul
968,789,jules
176,224,paul
235,938,paul
127,847,paul
894,760,jules
712,445,jules
343,984,paul
138,853,paul
740,445,jules
532,505,paul
975,437,paul
978,1000,jules
988,367,jules
927,775,jules
729,781,jules
934,823,jules
665,778,jules
745,371,jules
899,954,jules
920,650,jules
740,274,paul
556,728,paul
844,368,jules
922,696,jules
604,368,jules
57,406,paul
553,66,paul
170,521,paul
173,428,paul
564,606,paul
185,173,paul
278,212,paul
727,969,paul
235,668,paul
621,722,jules
717,955,paul
970,857,jules
950,223,paul
196,286,paul
242,164,paul
525,205,paul
582,748,paul
952,696,jules
371,156,paul
380,799,paul
729,538,jules
615,525,paul
129,143,paul
961,125,paul
245,583,paul
989,205,paul
278,104,paul
262,96,paul
375,967,paul
813,128,paul
468,201,paul
469,318,paul
442,72,paul
546,22,paul
533,995,paul
980,879,jules
732,786,paul
618,810,paul
182,270,paul
105,810,paul
989,982,paul
989,991,paul
856,211,paul
647,455,jules
491,616,paul
317,589,paul
905,750,jules
849,571,jules
100,969,paul
285,767,paul
274,200,paul
175,743,paul
434,994,paul
991,8,paul
985,221,paul
676,756,paul
317,189,paul
789,157,jules
172,161,paul
550,778,paul
847,763,paul
794,757,jules
180,467,paul
202,693,paul
785,281,jules
438,573,paul
103,503,paul
518,453,paul
267,453,paul
819,530,jules
539,256,paul
277,646,paul
969,883,jules
750,668,jules
858,103,paul
766,29,paul
917,189,paul
945,278,paul
701,403,jules
277,911,paul
512,149,paul
476,730,paul
885,93,paul
644,933,jules
387,374,paul
312,51,paul
588,382,jules
238,22,paul
591,51,paul
82,510,paul
90,285,paul
516,613,paul
855,744,jules
567,597,paul
169,816,paul
645,22,paul
946,773,jules
669,217,paul
504,913,paul
176,74,paul
705,9,paul
636,943,paul
804,280,jules
819,934,jules
398,913,paul
452,893,paul
20,720,paul
436,122,paul
528,861,paul
182,224,paul
491,741,paul
67,670,paul
53,497,paul
356,507,paul
377,301,paul
769,951,jules
21,145,paul
886,834,jules
18,875,paul
778,7,paul
923,609,jules
349,495,paul
225,60,paul
438,727,paul
111,38,paul
370,60,paul
41,379,paul
781,525,jules
200,134,paul
678,185,paul
130,573,paul
977,985,paul
517,982,paul
120,788,paul
824,248,jules
75,884,paul
604,65,paul
521,714,paul
443,395,paul
599,633,jules
426,333,paul
286,838,paul
273,630,paul
401,654,paul
200,673,paul
728,792,jules
401,672,paul
314,527,paul
478,379,paul
502,965,paul
329,238,paul
84,71,paul
740,784,jules
158,136,paul
87,988,paul
807,127,paul
927,229,paul
240,574,paul
874,46,paul
386,399,paul
967,948,jules
782,646,jules
764,40,paul
364,240,paul
960,253,paul
770,272,jules
109,792,paul
213,831,paul
350,818,paul
882,562,jules
813,728,jules
938,94,paul
395,978,paul
132,775,paul
70,135,paul
396,714,paul
143,924,paul
898,543,paul
195,971,paul
368,225,paul
838,928,jules
628,26,paul
928,794,jules
105,260,paul
460,964,paul
127,260,paul
801,610,jules
751,124,jules
35,433,paul
72,482,paul
609,705,jules
828,972,paul
957,628,jules
431,262,paul
992,833,jules
198,814,paul
56,483,paul
373,577,paul
421,325,paul
301,180,paul
51,526,paul
286,945,paul
868,785,jules
616,591,jules
649,112,paul
489,398,paul
647,417,paul
318,745,paul
142,937,paul
642,82,paul
789,757,jules
739,271,jules
438,670,paul
289,34,paul
979,490,jules
527,500,paul
69,943,paul
869,893,jules
30,457,paul
537,392,paul
999,566,jules
738,144,jules
682,392,jules
167,195,paul
915,362,jules
898,300,jules
23,683,paul
671,657,jules
364,91,paul
625,361,jules
739,383,jules
506,660,paul
680,971,jules
700,711,jules
428,341,paul
