x,y,nettoyage
13,88,paul
1,86,paul
47,53,paul
67,68,paul
15,30,paul
61,6,paul
47,71,jules
36,80,paul
82,47,paul
94,12,paul
17,76,paul
11,5,paul
71,47,paul
100,92,paul
77,90,paul
63,52,paul
0,14,paul
28,94,paul
61,91,jules
29,68,jules
81,69,paul
40,77,jules
72,20,paul
56,3,paul
93,52,paul
33,47,paul
97,31,paul
32,60,paul
14,24,paul
67,36,paul
38,0,paul
35,65,jules
86,49,paul
49,9,paul
43,87,jules
79,19,paul
32,96,jules
15,25,paul
46,18,paul
90,37,paul
36,66,jules
28,62,jules
30,4,paul
94,7,paul
71,42,paul
63,38,paul
51,96,jules
40,45,jules
94,25,paul
58,90,jules
52,19,paul
33,15,paul
80,99,paul
29,63,paul
58,99,paul
61,95,paul
44,24,paul
64,2,paul
72,15,paul
42,100,jules
52,46,paul
25,29,paul
44,42,paul
74,43,paul
64,11,paul
45,16,paul
56,16,paul
23,77,jules
51,59,jules
54,92,paul
23,86,jules
31,99,jules
32,64,jules
12,95,jules
98,9,paul
59,36,paul
43,82,jules
26,11,paul
88,90,paul
36,52,jules
18,16,paul
79,32,paul
63,15,paul
65,97,paul
71,28,paul
76,97,paul
47,61,jules
90,32,paul
9,53,paul
92,69,paul
49,98,jules
11,4,paul
21,45,paul
44,10,paul
27,79,jules
50,81,jules
41,23,paul
81,77,paul
0,89,paul
62,73,paul
93,51,paul
37,7,paul
14,5,paul
56,20,paul
3,23,paul
12,90,paul
35,55,paul
70,22,paul
78,35,paul
88,67,paul
55,42,paul
71,5,paul
28,34,paul
5,41,paul
5,50,paul
28,52,jules
47,65,paul
48,30,jules
6,15,paul
49,93,jules
50,58,paul
60,4,paul
6,33,paul
100,86,paul
80,80,paul
92,82,paul
44,5,paul
69,89,paul
8,70,jules
39,48,paul
61,94,jules
91,95,paul
93,46,paul
86,7,paul
13,32,paul
89,12,paul
13,41,paul
70,8,paul
3,18,paul
20,89,jules
13,50,paul
43,63,jules
53,95,jules
99,62,paul
55,46,paul
36,42,jules
57,74,jules
46,74,jules
17,38,paul
9,34,paul
40,3,paul
68,74,paul
49,88,jules
80,66,paul
92,77,paul
80,75,paul
33,0,paul
58,84,jules
7,100,paul
52,13,paul
23,53,paul
31,66,jules
95,69,paul
39,79,jules
4,49,paul
20,75,jules
43,40,paul
32,40,jules
72,76,paul
95,87,paul
87,83,paul
28,15,paul
36,28,paul
5,22,paul
17,24,paul
99,75,paul
9,20,paul
68,69,paul
76,82,paul
57,78,paul
69,43,paul
26,81,jules
81,26,paul
62,22,paul
69,70,paul
18,86,paul
50,66,jules
62,31,paul
58,79,jules
10,2,paul
74,5,paul
42,71,jules
31,34,paul
62,40,paul
20,34,paul
74,14,paul
25,9,paul
93,27,paul
2,7,paul
85,23,paul
31,43,paul
11,83,jules
12,48,paul
75,86,paul
19,96,jules
84,64,paul
0,92,jules
41,93,jules
39,65,paul
31,70,paul
32,35,paul
53,76,paul
99,43,paul
43,53,paul
34,72,jules
64,85,paul
45,81,jules
16,45,paul
47,32,jules
14,84,jules
37,86,jules
17,28,paul
92,31,paul
14,93,jules
100,44,paul
38,60,jules
80,29,paul
58,29,paul
65,86,paul
26,67,jules
3,93,paul
57,82,paul
40,11,paul
68,91,paul
18,72,jules
21,16,paul
58,65,paul
7,81,jules
90,97,paul
62,35,paul
20,38,paul
94,76,paul
31,38,paul
20,47,paul
66,14,paul
91,98,paul
60,92,jules
12,52,paul
1,15,paul
87,64,paul
64,71,paul
99,38,paul
95,86,paul
13,44,paul
36,9,paul
34,76,jules
92,8,paul
64,89,paul
87,91,paul
58,15,paul
14,79,jules
65,63,paul
45,94,paul
97,95,paul
37,81,paul
46,68,paul
58,33,paul
57,68,jules
15,62,paul
68,77,paul
38,73,jules
62,3,paul
81,16,paul
18,76,paul
42,43,jules
69,60,paul
79,92,paul
91,57,paul
42,61,jules
54,26,paul
30,59,jules
62,39,paul
94,80,paul
32,7,paul
0,73,jules
13,3,paul
95,54,paul
4,43,paul
34,53,paul
45,53,jules
13,30,paul
2,91,paul
34,71,jules
57,36,paul
22,69,jules
47,13,paul
38,32,paul
92,3,paul
37,76,jules
46,63,jules
5,25,paul
70,100,paul
15,75,jules
27,40,paul
50,42,jules
98,91,paul
8,36,paul
79,87,paul
42,47,paul
0,41,paul
84,22,paul
63,88,paul
23,15,paul
95,31,paul
0,59,paul
12,24,paul
0,68,paul
75,71,paul
21,100,paul
87,45,paul
87,54,paul
33,83,jules
64,70,paul
99,37,paul
28,4,paul
76,53,paul
77,18,paul
57,49,paul
69,14,paul
89,81,paul
50,10,paul
59,77,jules
15,52,paul
61,19,paul
49,63,paul
89,99,paul
55,97,paul
7,57,paul
82,60,paul
27,26,paul
59,95,paul
11,18,paul
8,22,paul
30,31,paul
90,73,paul
90,82,paul
17,98,paul
39,9,paul
94,43,paul
29,72,paul
54,16,paul
48,94,jules
95,26,paul
29,90,jules
94,79,paul
84,44,paul
10,67,paul
45,34,paul
53,56,jules
46,17,paul
65,30,paul
10,94,jules
76,30,paul
22,59,paul
25,92,jules
92,2,paul
69,9,paul
55,74,paul
61,5,paul
50,5,paul
78,85,paul
67,94,paul
79,59,paul
70,90,paul
26,65,jules
17,84,jules
0,13,paul
28,93,jules
79,77,paul
29,58,paul
31,0,paul
95,3,paul
5,100,jules
91,60,paul
29,76,jules
60,54,paul
31,18,paul
53,15,paul
60,63,paul
33,46,jules
40,94,jules
23,23,paul
83,65,paul
72,37,paul
88,0,paul
87,44,paul
34,38,jules
1,13,paul
37,34,paul
74,83,paul
46,12,paul
66,79,paul
10,89,jules
45,56,jules
97,57,paul
25,87,paul
68,21,paul
67,53,paul
100,1,paul
68,30,paul
43,95,jules
98,40,paul
58,4,paul
38,35,jules
78,71,paul
18,29,paul
78,89,paul
28,70,jules
15,51,paul
47,83,jules
26,51,jules
50,18,paul
100,95,paul
19,21,paul
5,86,paul
28,88,jules
82,68,paul
39,8,paul
82,77,paul
83,42,paul
63,73,paul
23,0,paul
83,51,paul
33,32,paul
87,12,paul
44,41,jules
72,23,paul
84,25,paul
40,89,jules
72,41,paul
44,68,jules
37,29,paul
99,13,paul
56,42,paul
34,42,paul
66,74,paul
10,84,paul
56,51,paul
45,51,jules
26,10,paul
98,26,paul
67,57,paul
24,86,paul
7,15,paul
3,63,paul
90,31,paul
13,95,paul
24,95,jules
79,40,paul
71,36,paul
89,84,paul
91,14,paul
30,7,paul
42,9,paul
27,20,paul
48,43,jules
48,70,jules
83,37,paul
60,35,paul
95,11,paul
34,1,paul
34,10,paul
81,94,paul
62,90,jules
34,19,paul
96,3,paul
53,32,paul
73,99,paul
22,26,paul
3,31,paul
66,78,paul
57,20,paul
96,88,paul
79,17,paul
79,26,paul
24,90,jules
36,55,jules
55,68,jules
13,99,jules
7,28,paul
82,31,paul
89,79,paul
90,44,paul
47,73,jules
48,38,paul
19,2,paul
71,40,paul
9,65,paul
17,78,jules
9,74,jules
83,23,paul
5,85,jules
17,87,jules
6,50,paul
71,58,paul
44,13,paul
60,39,paul
75,37,paul
8,96,paul
2,25,paul
93,54,paul
10,47,paul
56,14,paul
85,50,paul
45,14,paul
10,56,paul
45,23,paul
2,52,paul
23,84,jules
76,10,paul
22,39,paul
97,51,paul
32,80,jules
38,11,paul
79,12,paul
97,60,paul
98,25,paul
7,5,paul
16,72,paul
1,74,paul
24,85,paul
47,50,paul
99,88,paul
70,43,paul
63,13,paul
99,97,paul
98,43,paul
68,100,paul
91,13,paul
38,96,jules
41,3,paul
75,14,paul
60,25,paul
5,89,paul
80,92,paul
60,34,paul
33,17,paul
33,26,paul
19,91,jules
73,71,paul
56,0,paul
2,29,paul
39,78,jules
22,7,paul
39,87,jules
62,89,jules
12,79,paul
23,88,jules
4,84,jules
13,62,paul
59,29,paul
66,77,paul
16,58,paul
70,29,paul
7,0,paul
59,38,paul
90,25,paul
82,21,paul
17,50,paul
46,86,paul
47,63,jules
48,28,jules
1,96,jules
68,95,paul
71,39,paul
83,4,paul
48,37,paul
80,69,paul
50,65,jules
9,73,jules
61,74,paul
33,3,paul
44,3,paul
50,83,jules
80,96,paul
81,61,paul
42,88,jules
30,86,jules
62,66,paul
19,95,paul
66,27,paul
62,75,paul
51,38,jules
66,36,paul
3,7,paul
95,81,paul
59,6,paul
14,16,paul
78,19,paul
67,19,paul
12,92,jules
43,70,paul
4,88,paul
24,66,paul
18,4,paul
82,7,paul
7,4,paul
28,36,paul
1,82,paul
59,42,paul
16,80,jules
68,81,paul
36,58,paul
77,59,paul
21,6,paul
71,25,paul
40,19,paul
6,17,paul
58,73,paul
77,86,paul
69,82,paul
62,43,paul
54,39,paul
25,12,paul
0,77,paul
94,93,paul
54,57,jules
20,55,paul
0,86,paul
97,0,paul
31,64,paul
54,75,jules
13,43,paul
59,10,paul
32,56,jules
84,94,paul
66,58,paul
4,74,jules
12,87,paul
67,23,paul
1,50,paul
24,52,paul
87,99,paul
32,65,jules
56,93,jules
68,67,paul
1,77,paul
88,82,paul
77,45,paul
9,36,paul
38,81,jules
26,79,jules
58,59,paul
50,55,jules
7,84,paul
77,81,paul
69,77,paul
85,12,paul
25,7,paul
66,8,paul
73,65,paul
74,30,paul
51,28,paul
84,62,paul
95,62,paul
22,1,paul
24,20,paul
13,29,paul
53,74,jules
86,22,paul
13,38,paul
12,82,jules
24,47,paul
87,85,paul
36,21,paul
70,23,paul
34,88,jules
56,88,jules
70,32,paul
5,24,paul
3,91,paul
82,6,paul
80,36,paul
68,80,paul
5,51,paul
6,16,paul
68,89,paul
26,83,jules
68,98,paul
7,79,jules
19,53,jules
61,68,paul
7,97,jules
10,4,paul
91,78,paul
85,16,paul
60,81,jules
91,96,paul
30,89,jules
31,54,jules
11,85,paul
23,50,jules
12,59,paul
41,95,jules
72,73,paul
44,100,jules
35,42,paul
76,43,paul
25,96,jules
45,74,jules
99,45,paul
35,51,paul
16,47,paul
68,48,paul
57,48,paul
100,28,paul
46,57,jules
58,22,paul
99,72,paul
9,17,paul
22,99,jules
58,31,paul
15,60,jules
50,36,jules
38,80,jules
26,78,jules
71,86,paul
30,48,jules
81,41,paul
83,60,paul
54,24,paul
73,37,paul
51,0,paul
11,62,jules
93,24,paul
83,87,paul
94,87,paul
12,45,paul
13,10,paul
66,25,paul
4,50,paul
24,28,paul
95,79,paul
34,60,jules
89,8,paul
59,4,paul
72,86,paul
46,34,jules
17,7,paul
92,10,paul
99,58,paul
77,21,paul
37,74,paul
5,14,paul
45,87,jules
64,91,paul
26,55,jules
80,35,paul
27,29,paul
80,44,paul
27,38,paul
98,89,paul
82,72,paul
80,53,paul
73,23,paul
7,87,paul
42,54,paul
63,86,paul
93,10,paul
19,70,jules
0,66,paul
74,15,paul
87,34,paul
21,98,paul
66,11,paul
72,45,paul
60,89,jules
75,87,paul
52,85,jules
88,17,paul
