x,y,nettoyage
38,23,paul
49,23,paul
90,24,paul
79,24,paul
82,29,paul
91,7,paul
100,83,paul
19,9,paul
9,90,jules
60,37,paul
33,20,paul
72,2,paul
75,35,paul
44,38,paul
41,51,paul
72,29,paul
56,12,paul
74,48,paul
54,79,jules
53,25,paul
62,92,jules
34,21,paul
25,52,paul
31,86,jules
2,50,paul
45,30,paul
65,8,paul
51,73,jules
46,4,paul
78,54,jules
51,100,jules
97,67,paul
49,18,paul
43,96,paul
16,79,paul
78,63,jules
90,28,paul
88,95,jules
78,72,jules
1,99,jules
59,68,paul
17,62,paul
40,36,paul
48,49,paul
60,14,paul
82,51,paul
6,43,paul
0,9,paul
9,67,jules
21,41,paul
80,90,jules
41,19,paul
29,54,paul
52,28,paul
60,41,paul
27,93,jules
81,73,jules
73,69,paul
64,11,paul
33,42,paul
10,40,paul
81,91,jules
56,16,paul
86,17,paul
85,52,paul
74,52,jules
73,96,jules
34,25,paul
54,83,jules
23,77,paul
95,93,paul
20,81,jules
12,86,paul
74,70,jules
98,0,paul
32,64,jules
22,32,paul
74,79,jules
23,95,paul
78,40,paul
55,38,paul
67,49,paul
32,91,jules
55,56,paul
35,87,paul
70,54,paul
47,52,paul
68,93,paul
21,27,paul
9,71,jules
69,85,jules
92,87,jules
80,85,paul
69,94,jules
19,84,paul
93,42,paul
25,33,paul
39,80,jules
22,9,paul
45,11,paul
14,5,paul
32,41,paul
31,85,jules
2,49,paul
35,46,paul
43,59,jules
89,26,paul
55,24,paul
24,55,paul
59,22,paul
13,55,paul
16,51,paul
23,99,jules
24,64,paul
47,38,paul
36,38,paul
78,53,jules
13,82,jules
35,82,jules
63,1,paul
88,94,paul
48,21,paul
9,39,paul
71,32,paul
77,66,jules
38,93,paul
40,35,paul
26,100,jules
52,9,paul
60,22,paul
58,89,jules
69,89,paul
81,54,paul
52,18,paul
10,12,paul
19,79,paul
25,10,paul
52,27,paul
10,21,paul
74,33,paul
66,29,paul
24,32,paul
14,9,paul
4,63,paul
23,76,jules
85,60,jules
13,41,paul
32,54,paul
16,37,paul
31,89,paul
87,88,paul
36,15,paul
24,59,paul
99,62,paul
59,26,paul
88,62,paul
90,4,paul
76,69,paul
99,71,jules
56,100,jules
35,77,jules
70,44,paul
1,75,paul
68,74,paul
28,38,paul
9,34,paul
5,45,paul
28,56,paul
29,21,paul
80,57,jules
40,21,paul
38,97,jules
21,26,paul
62,27,paul
58,75,paul
62,36,paul
91,81,jules
74,10,paul
81,58,paul
2,3,paul
27,87,jules
39,52,paul
74,28,paul
74,37,paul
85,37,paul
55,5,paul
51,53,paul
84,87,jules
43,49,paul
35,45,paul
89,25,paul
64,99,jules
36,28,paul
100,31,paul
55,41,paul
45,95,jules
47,37,paul
16,68,paul
92,36,paul
37,100,jules
77,47,paul
5,40,paul
80,43,paul
68,78,jules
80,52,paul
92,63,paul
61,57,paul
7,86,paul
8,51,paul
15,99,jules
61,66,jules
69,79,jules
81,44,paul
8,60,paul
93,18,paul
85,14,paul
54,45,paul
83,81,jules
2,16,paul
72,71,jules
23,66,paul
86,15,paul
88,34,paul
32,44,paul
67,11,paul
23,75,paul
87,78,jules
99,43,paul
64,76,jules
34,72,jules
72,89,jules
4,71,paul
70,16,paul
64,94,jules
47,23,paul
65,59,paul
96,74,paul
87,96,jules
76,59,paul
76,68,jules
49,51,paul
16,54,paul
5,26,paul
86,100,jules
17,28,paul
46,73,paul
76,86,paul
92,49,paul
98,83,jules
38,78,jules
90,88,jules
79,88,jules
80,65,paul
63,89,paul
10,6,paul
51,7,paul
0,60,paul
2,2,paul
19,82,jules
54,49,paul
32,12,paul
91,98,jules
74,27,paul
23,43,paul
43,21,paul
84,68,jules
64,62,paul
10,91,paul
95,77,jules
36,0,paul
2,96,jules
76,45,paul
22,74,jules
45,76,jules
92,8,paul
99,56,paul
53,89,jules
45,85,jules
68,41,paul
3,88,paul
48,1,paul
5,30,paul
92,35,paul
57,77,jules
92,44,paul
7,58,paul
73,3,paul
62,3,paul
69,51,paul
18,67,jules
27,45,paul
81,16,paul
61,47,paul
42,43,paul
27,54,paul
82,88,jules
81,34,paul
30,59,paul
83,62,jules
42,61,jules
39,46,paul
31,42,paul
72,43,paul
12,38,paul
24,79,jules
94,89,jules
95,54,paul
23,47,paul
12,47,paul
1,10,paul
95,63,paul
25,75,jules
1,19,paul
1,28,paul
44,97,jules
22,60,paul
56,71,jules
68,36,paul
53,84,jules
14,65,jules
38,32,paul
34,80,jules
86,81,jules
77,32,paul
100,34,paul
14,92,jules
27,22,paul
19,27,paul
15,75,jules
27,40,paul
30,36,paul
31,1,paul
63,70,jules
39,14,paul
0,32,paul
29,77,paul
42,56,paul
23,15,paul
19,63,jules
48,99,jules
0,68,jules
51,15,paul
44,65,jules
33,65,jules
41,78,jules
24,7,paul
88,10,paul
4,38,paul
16,3,paul
25,70,jules
88,19,paul
33,92,jules
96,41,paul
10,90,jules
88,37,paul
45,66,jules
68,31,paul
69,5,paul
49,36,paul
97,85,paul
98,50,paul
55,88,paul
50,19,paul
90,55,paul
90,64,paul
69,41,paul
98,77,jules
15,70,paul
90,73,jules
8,31,paul
83,34,paul
48,76,jules
19,40,paul
27,53,paul
71,87,jules
23,10,paul
31,23,paul
0,54,paul
87,22,paul
94,70,paul
20,32,paul
12,37,paul
25,56,paul
53,38,paul
34,34,paul
33,78,paul
46,8,paul
49,13,paul
85,97,paul
3,55,paul
65,39,paul
80,0,paul
76,48,paul
46,44,paul
18,25,paul
98,45,paul
27,3,paul
42,1,paul
78,85,jules
49,49,paul
79,50,paul
71,46,paul
15,56,paul
67,94,paul
18,52,paul
11,13,paul
98,81,paul
82,64,jules
100,100,paul
73,6,paul
91,42,paul
62,6,paul
39,4,paul
82,73,jules
19,44,paul
40,76,jules
12,5,paul
12,14,paul
83,65,jules
4,10,paul
41,59,jules
75,61,jules
33,55,paul
45,20,paul
4,28,paul
10,62,paul
34,29,paul
1,4,paul
93,78,jules
96,22,paul
1,13,paul
3,41,paul
97,57,paul
100,1,paul
26,15,paul
26,24,paul
78,62,paul
13,91,jules
55,78,paul
78,89,jules
7,47,paul
8,12,paul
30,12,paul
28,79,paul
82,50,paul
70,85,jules
30,21,paul
63,55,paul
94,33,paul
0,26,paul
11,35,paul
63,73,jules
41,36,paul
94,60,paul
72,23,paul
40,89,jules
41,63,jules
34,33,paul
14,27,paul
93,91,jules
76,20,paul
25,73,jules
22,58,paul
74,96,jules
18,6,paul
32,99,paul
78,66,jules
69,8,paul
18,24,paul
90,40,paul
50,4,paul
47,96,paul
30,25,paul
9,79,jules
19,25,paul
95,2,paul
41,31,paul
9,97,jules
83,46,paul
21,62,paul
23,4,paul
64,5,paul
21,71,paul
41,49,paul
87,16,paul
34,10,paul
33,54,paul
74,55,paul
20,84,jules
45,37,paul
86,38,paul
32,67,paul
4,94,paul
78,43,paul
18,1,paul
89,52,paul
15,14,paul
86,65,jules
7,10,paul
55,50,paul
80,3,paul
36,55,paul
82,31,paul
19,2,paul
29,34,paul
63,36,paul
82,49,paul
71,49,paul
52,8,paul
9,74,paul
60,21,paul
58,88,jules
83,32,paul
29,61,paul
52,35,paul
95,15,paul
56,5,paul
87,20,paul
85,50,paul
56,14,paul
3,8,paul
10,56,paul
56,23,paul
39,92,jules
14,26,paul
95,100,jules
23,93,paul
13,58,paul
49,2,paul
85,86,jules
86,51,paul
67,38,paul
4,98,jules
7,5,paul
43,98,jules
16,81,paul
90,30,paul
13,94,jules
98,43,paul
9,51,paul
77,69,paul
29,38,paul
48,51,paul
80,83,jules
52,12,paul
40,56,paul
52,21,paul
93,31,paul
93,40,paul
2,20,paul
25,22,paul
25,31,paul
54,67,paul
44,44,paul
73,80,jules
51,43,paul
93,58,paul
14,3,paul
62,89,jules
34,18,paul
2,38,paul
20,74,jules
32,48,paul
70,20,paul
4,84,paul
35,62,jules
15,4,paul
97,55,paul
7,0,paul
35,71,jules
16,76,paul
1,87,paul
47,54,paul
76,90,paul
5,48,paul
90,34,paul
46,86,jules
100,66,paul
6,22,paul
60,2,paul
92,71,paul
83,13,paul
33,3,paul
75,18,paul
41,16,paul
44,21,paul
30,86,jules
8,86,paul
62,66,jules
85,31,paul
10,28,paul
20,60,paul
51,47,paul
14,7,paul
67,10,paul
43,43,paul
14,16,paul
12,83,jules
86,32,paul
31,96,jules
67,28,paul
59,24,paul
79,2,paul
24,66,jules
45,98,jules
34,98,jules
55,44,paul
71,7,paul
79,20,paul
70,51,paul
5,43,paul
92,48,paul
6,8,paul
76,94,jules
17,45,paul
80,55,jules
77,68,jules
61,60,paul
83,8,paul
50,69,jules
92,84,jules
52,11,paul
42,83,jules
20,46,paul
93,30,paul
19,81,paul
27,94,jules
62,70,jules
85,35,paul
74,35,paul
11,86,jules
85,44,paul
39,86,jules
13,34,paul
78,14,paul
24,43,paul
72,92,paul
87,90,jules
4,83,jules
16,48,paul
17,13,paul
34,84,jules
47,26,paul
55,30,paul
99,64,paul
45,84,jules
82,2,paul
16,66,jules
28,31,paul
82,11,paul
46,76,jules
57,76,jules
29,5,paul
77,54,paul
28,49,paul
40,14,paul
63,16,paul
9,45,paul
38,81,jules
15,79,jules
69,68,jules
26,97,jules
49,99,paul
58,77,jules
27,71,jules
62,56,jules
66,17,paul
75,84,paul
74,30,paul
20,59,paul
19,94,jules
0,90,paul
51,37,paul
54,70,jules
89,0,paul
96,36,paul
86,22,paul
59,5,paul
97,22,paul
89,27,paul
1,54,paul
88,59,paul
100,24,paul
1,63,paul
70,32,paul
9,13,paul
76,75,paul
9,22,paul
38,58,paul
57,71,jules
36,39,paul
14,100,paul
40,9,paul
80,45,paul
77,58,jules
61,41,paul
21,5,paul
81,19,paul
58,63,jules
21,23,paul
73,24,paul
81,37,paul
52,1,paul
0,49,paul
91,69,paul
27,75,jules
0,58,paul
81,55,paul
12,41,paul
83,92,jules
31,54,paul
41,86,jules
75,97,jules
24,24,paul
86,8,paul
89,4,paul
67,4,paul
70,0,paul
67,13,paul
45,65,jules
65,43,paul
56,74,jules
17,3,paul
5,10,paul
99,63,paul
46,57,paul
37,88,paul
65,70,jules
28,30,paul
69,31,paul
49,62,jules
58,40,paul
38,71,jules
61,36,paul
77,53,paul
6,11,paul
21,9,paul
19,39,paul
73,19,paul
81,32,paul
30,48,paul
8,48,paul
15,96,jules
18,92,paul
30,57,paul
83,60,jules
82,95,jules
73,37,paul
51,0,paul
42,68,jules
39,53,paul
84,52,paul
11,80,paul
72,50,paul
66,16,paul
20,58,paul
95,61,paul
33,77,paul
86,3,paul
24,19,paul
87,66,paul
88,31,paul
99,31,paul
64,64,jules
64,73,jules
24,37,paul
65,38,paul
45,69,jules
57,34,paul
16,33,paul
99,49,paul
46,43,paul
97,97,jules
37,92,jules
57,70,paul
55,100,paul
77,48,paul
50,31,paul
15,64,jules
62,5,paul
61,49,paul
90,85,paul
61,58,paul
63,77,jules
39,21,paul
7,87,jules
29,84,paul
12,13,paul
71,99,jules
31,35,paul
60,80,jules
75,78,jules
12,40,paul
94,91,jules
88,17,paul
33,90,jules
44,99,paul
72,81,jules
46,29,paul
22,71,jules
5,0,paul
38,34,paul
56,82,jules
100,18,paul
5,18,paul
58,21,paul
7,46,paul
55,95,paul
50,26,paul
30,20,paul
8,29,paul
50,44,paul
91,45,paul
27,42,paul
31,3,paul
18,82,jules
71,85,jules
39,25,paul
75,46,paul
48,92,jules
23,8,paul
29,88,paul
72,31,paul
11,61,paul
29,97,paul
4,22,paul
13,0,paul
60,93,jules
33,76,jules
96,25,paul
16,5,paul
64,54,jules
93,90,jules
33,85,jules
53,63,paul
34,59,paul
92,0,paul
3,62,paul
38,29,paul
57,42,paul
76,55,paul
77,20,paul
89,92,jules
90,57,paul
58,34,paul
18,50,paul
71,53,jules
50,30,paul
28,91,paul
83,36,paul
63,67,jules
31,7,paul
40,83,jules
52,48,paul
6,81,jules
23,12,paul
51,3,paul
33,71,jules
72,53,paul
46,1,paul
34,36,paul
65,14,paul
45,36,paul
34,45,paul
37,32,paul
93,94,jules
52,84,jules
57,10,paul
74,90,paul
46,19,paul
97,64,paul
15,22,paul
15,40,paul
8,1,paul
78,87,jules
50,16,paul
59,83,jules
67,96,jules
47,90,jules
30,19,paul
91,35,paul
83,31,paul
90,79,jules
95,5,paul
6,67,paul
63,80,jules
31,20,paul
84,23,paul
6,85,jules
64,17,paul
21,83,jules
40,96,jules
10,55,paul
72,39,paul
52,70,jules
54,98,paul
99,11,paul
64,44,paul
57,5,paul
25,71,jules
14,34,paul
46,5,paul
51,83,jules
66,72,jules
56,58,jules
86,59,paul
66,90,jules
77,1,paul
26,17,paul
86,68,jules
18,13,paul
32,97,paul
38,28,paul
98,42,paul
80,6,paul
49,37,paul
16,89,jules
1,100,paul
47,76,jules
30,5,paul
30,14,paul
90,65,jules
36,94,jules
9,86,jules
95,0,paul
69,100,jules
0,28,paul
52,38,paul
95,18,paul
81,92,jules
25,39,paul
33,61,jules
45,26,paul
99,6,paul
99,15,paul
74,80,paul
67,41,paul
49,5,paul
35,79,paul
98,28,paul
