x,y,nettoyage
4,0,paul
87,71,paul
25,41,jules
94,3,paul
85,0,paul
59,82,paul
12,52,paul
49,16,jules
21,64,paul
67,6,paul
13,35,paul
1,97,paul
34,12,jules
3,24,paul
90,10,paul
92,44,paul
95,15,paul
44,40,jules
7,85,paul
16,33,jules
92,74,paul
9,85,paul
32,25,jules
91,50,paul
22,69,paul
99,60,paul
20,90,paul
0,57,paul
11,66,paul
68,72,paul
60,89,paul
81,66,paul
34,46,jules
7,7,paul
88,26,paul
45,0,paul
12,24,paul
77,89,paul
78,88,paul
9,80,paul
33,65,paul
32,11,paul
0,25,paul
82,85,paul
63,17,paul
58,5,paul
21,29,jules
25,8,jules
35,18,jules
19,31,paul
73,66,paul
45,4,paul
39,91,paul
64,38,paul
87,40,paul
44,69,paul
11,11,paul
30,42,jules
66,93,paul
49,22,paul
37,2,paul
86,16,paul
15,93,paul
6,90,paul
12,21,paul
61,5,paul
93,21,paul
81,1,paul
7,52,paul
4,99,paul
27,30,jules
74,26,paul
72,92,paul
34,20,paul
47,17,paul
63,7,paul
43,22,paul
81,88,paul
64,81,paul
64,35,jules
99,11,paul
2,14,paul
84,62,paul
2,87,paul
20,68,paul
87,3,paul
4,51,paul
29,16,jules
13,29,paul
64,92,paul
62,40,jules
99,4,paul
8,69,paul
66,28,jules
5,51,paul
84,18,paul
1,38,paul
20,27,jules
31,54,jules
29,75,paul
